slug	name_en	quote_en	quote_zh	source_note	source_url	core_traits	thinking_style	temperament_tags	temperament_summary	loading_copy_zh	loading_copy_en	bio_zh	bio_en	achievements_zh	achievements_en
norbert_wiener	Norbert Wiener	Information is information, not matter or energy.	信息就是信息，不是物质也不是能量。	中文现成译法见中文学术/科普文章引用《控制论》	https://www.cssn.cn/dkzgxp/zgxp_zgshkx/2022nd1q/202208/t20220822_5474688.shtml	系统视角、反馈意识、跨界高敏、副作用警觉	总是同时思考输入、反馈、控制与后果，把问题放进系统循环里观察。	控制论视角、跨界高敏、思维密集、警觉不安	像一个总能同时看见系统、反馈与副作用的人，聪明得发烫，也常带一点过载感。	Wiener 正在检查你的反馈回路有没有悄悄自激振荡……	Wiener is checking whether your feedback loop has secretly started oscillating on its own...	美国数学家，善于把控制、信息和行为统一到反馈系统视角中。	An American mathematician who excelled at unifying control, information, and behavior through the lens of feedback systems.	创立控制论｜推动随机过程研究｜影响计算、工程与认知科学多个领域	Founded cybernetics | Advanced the study of stochastic processes | Influenced computing, engineering, and cognitive science
paul_erdos	Paul Erdős	If numbers aren't beautiful, I don't know what is.	如果数字都不美，那我就不知道什么是美了。	As quoted in My Brain Is Open (1998)	https://en.wikiquote.org/wiki/Paul_Erd%C5%91s	数字执念、合作流动、问题网络、高频产出	把问题当作可在多人网络中不断传递和击中的节点，以高频合作持续推进。	流浪协作、数字执念、轻盈高频、去中心化	像一个把全部生活都献给问题和同行网络的人，轻、快、奇特而几乎无负重。	Erdos 正在提着小行李箱路过，顺手给你留下一道新题……	Erdos is passing by with a small suitcase and casually leaving you one more problem to solve...	匈牙利数学家，以流动合作和海量论文著称，是数学共同体里的传奇人物。	A Hungarian mathematician legendary for constant collaboration and an enormous body of papers across the mathematical community.	推动组合数学与图论发展｜广泛使用概率方法｜留下著名的 Erdos 数文化	Advanced combinatorics and graph theory | Widely developed probabilistic methods | Left behind the famous Erdos number culture
poincare	Henri Poincare	Mathematics is the art of giving the same name to different things.	数学是给不同事物取相同名字的艺术。	中文现成译法见中文网络译文/引文	https://www.ltaaa.cn/article/33481	直觉整合、形式洞察、广域联想、优雅压缩	常在大量材料中迅速抓住潜在形式，用直觉先整合，再用表达把它压缩出来。	直觉与结构并举、广域敏感、优雅洞察、温和自信	像一个能在大范围复杂材料中迅速抓住潜在形式的人，轻盈、优雅、反应极快。	Poincare 正在从混沌边缘给你捞回一点全局结构……	Poincare is fishing a bit of global structure back from the edge of chaos for you...	法国数学家与理论物理学家，直觉极强，擅长同时把握局部技巧与整体图景。	A French mathematician and theoretical physicist with extraordinary intuition, able to hold local technique and global picture at once.	奠定拓扑学若干核心观念｜推进天体力学与动力系统研究｜提出 Poincare 猜想	Laid down several core ideas of topology | Advanced celestial mechanics and dynamical systems | Posed the Poincare conjecture
ramanujan	Srinivasa Ramanujan	Ramanujan said that his findings were divine, revealed to him in dreams by the goddess Namagiri.	拉马努金说，自己的许多数学发现带有神启性质，是纳玛吉里女神在梦中启示给他的。	改为人物逸闻式表述，而非严格逐字名言；依据 Emory University 对 Ramanujan 生平的概述	https://news.emory.edu/stories/2012/12/esc_anniversary_of_ramanujan/campus.html	模式直觉、答案先行、非标准路径、内在确信	常先看见结果与模式本身，再回头寻找表达形式，直觉领先于正规展开。	直觉爆发、非标准路径、神秘内燃、孤勇	像一个先看见答案的轮廓、再勉强回头补语言的人，内在确信极强，带一点不可译性。	Ramanujan 正在从宇宙草稿纸上替你抄下一行灵感……	Ramanujan is copying down a fresh line of inspiration for you from the universe's scratch paper...	印度数学家，以惊人的直觉和非传统路径，在数论与特殊函数中留下大量神来之笔。	An Indian mathematician who left a flood of brilliant results in number theory and special functions through astonishing intuition and nontraditional paths.	推动分拆数公式研究｜在模形式与 q 级数中留下深刻成果｜提出大量超前的恒等式与猜想	Advanced formulas for partition numbers | Left deep work on modular forms and q-series | Proposed many remarkably ahead-of-their-time identities and conjectures
turing	Alan Turing	Sometimes it is the people no one imagines anything of who do the things that no one can imagine.	有时候，被世人遗弃的人，才能成就让人想像不到的大事。	中文现成译法引自 zh.wikiquote：艾伦·图灵	https://zh.wikiquote.org/wiki/%E8%89%BE%E4%BC%A6%C2%B7%E5%9B%BE%E7%81%B5	本质切穿、计算视角、非标准路径、冷静抽离	喜欢把问题切到最基础的可计算或可判定层面，再用极简模型直取核心。	冷峻切穿、非标准路径、内向孤独、本质导向	像一个会直接把问题切到骨头的人，安静、锐利，不太为社交缓冲让路。	Turing 正在把你的气质编译成可执行的结构……	Turing is compiling your temperament into an executable structure...	英国数学家、逻辑学家与计算机科学先驱，对计算、智能与密码分析影响巨大。	A British mathematician, logician, and computing pioneer whose influence on computation, intelligence, and cryptanalysis remains immense.	提出图灵机模型｜奠定可计算性理论｜参与二战密码破译并推动现代计算思想	Introduced the Turing machine model | Helped found computability theory | Contributed to wartime codebreaking and modern computing thought
von_neumann	John von Neumann	Young man, in mathematics you don't understand things. You just get used to them.	年轻人，在数学中你不理解事情，你只是习惯它们。	中文现成译法引自 zh.wikiquote：約翰·馮·諾伊曼	https://zh.wikiquote.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E9%A6%AE%C2%B7%E8%AB%BE%E4%BC%8A%E6%9B%BC	高速建模、跨域统治力、博弈感、复杂系统掌控	能在多个复杂系统之间高速切换，用极强抽象力迅速建立可运算的模型。	高速广撒、智性压强强、游戏感、掌控力极高	像一个能在多个复杂系统之间高速切换且始终保持掌控的人，强得近乎不讲理。	von Neumann 正在把你的直觉整理成一套可运行的系统架构……	von Neumann is organizing your intuition into a system architecture that can actually run...	匈牙利裔美籍数学家，涉猎极广，擅长把抽象理论迅速转成强有力的系统工具。	A Hungarian-American mathematician of extraordinary range, gifted at turning abstract theory into powerful working systems.	提出存储程序计算机架构思想｜奠定博弈论重要基础｜在量子理论与应用数学中均有重大贡献	Advanced the stored-program computer architecture idea | Helped lay major foundations of game theory | Made major contributions to quantum theory and applied mathematics
werner_heisenberg	Werner Heisenberg	What we observe is not nature itself, but nature exposed to our method of questioning.	我们所观测到的不是自然本身，而是大自然在我们所用的观察方法下展现出来的特性。	中文现成译法见中文网络转载/博客引文（Heisenberg）	https://www.cnblogs.com/zhaorui/archive/2012/12/05/20121205_ReadCode_Note_01.html	边界意识、概念重估、哲学敏感、理论压缩	不只研究对象本身，也研究观察方式如何改变对象，擅长在边界处重估概念。	不确定性自觉、哲学敏感、内敛锋利、边界感强	像一个始终意识到认知边界本身也是问题的人，内敛、敏感、带着高密度的思辨感。	Heisenberg 正在提醒你：先别逼得太死，有些东西本来就要留点不确定……	Heisenberg is reminding you not to pin everything down too hard; some things are meant to stay uncertain...	德国理论物理学家，是量子力学早期革命的关键推动者之一。	A German theoretical physicist and one of the crucial drivers of the early quantum revolution.	提出矩阵力学｜提出不确定性原理｜参与建立量子力学的早期核心框架	Introduced matrix mechanics | Formulated the uncertainty principle | Helped establish the early core framework of quantum mechanics
yang_zhenning	Yang Chen-Ning	One learns to hope that Nature possesses an order that one may aspire to comprehend.	人会逐渐学会去期待：自然界中存在一种秩序，而人可以努力去理解它。	Nobel lecture The Law of Parity Conservation and Other Symmetry Laws of Physics (1957)	https://www.nobelprize.org/prizes/physics/1957/yang/lecture/	对称性直觉、统一视角、理论穿透、结构审美	擅长从看似分散的现象中抓住深层对称与统一结构，用简洁原则重写问题。	理论优雅、冷静克制、结构穿透、长期主义	像一个总想从更高层次把世界重新统一起来的人，克制、深稳，带着强烈的结构美感。	杨振宁正在替你检查这套说法背后有没有更深一层的对称性……	Yang is checking whether a deeper symmetry is hiding behind the way you're framing this...	华裔理论物理学家，对对称性、规范场与统计物理都做出过关键贡献，是二十世纪最重要的理论物理学家之一。	A Chinese-born theoretical physicist whose work on symmetry, gauge theory, and statistical physics helped reshape twentieth-century physics.	提出宇称不守恒并获诺贝尔物理学奖｜推动规范场与杨-米尔斯理论发展｜在统计物理与凝聚态中留下深远影响	Proposed parity nonconservation and won the Nobel Prize in Physics | Advanced Yang-Mills gauge theory | Left lasting marks on statistical and condensed matter physics
qian_xuesen	Qian Xuesen	I plan to do my best to help the Chinese people build up the nation to where they can live with dignity and happiness.	我打算尽自己最大的努力，帮助中国人民把国家建设到人人都能有尊严、有幸福生活的地步。	Widely quoted remark from reporters upon returning to China (1955); collected by Wikiquote	https://en.wikiquote.org/wiki/Qian_Xuesen	系统工程、总体设计、工程统筹、国家使命	倾向先搭出系统级目标与约束，再把复杂工程拆成可协同推进的整体方案。	总师气质、组织统筹、理性坚决、使命驱动	像一个始终从全局系统出发调度资源与路径的人，稳、硬、极有工程组织力。	钱学森正在把你零散的想法收束成一套能真正落地的总体方案……	Qian is gathering your scattered thoughts into a systems blueprint that can actually be built...	中国空气动力学家、系统科学家和航天事业奠基者之一，擅长把前沿理论转成国家级工程体系。	A Chinese aerodynamicist, systems scientist, and foundational figure in China's aerospace program, known for turning frontier theory into national-scale engineering.	奠定中国航天与导弹总体设计体系｜推动工程控制论与系统工程研究｜促进空气动力学与力学教育发展	Helped establish China's aerospace and missile system design framework | Advanced engineering cybernetics and systems engineering research | Strengthened aerodynamics and mechanics education
hua_luogeng	Hua Luogeng	Intelligence depends on diligence, genius depends on accumulation.	聪明在于勤奋，天才在于积累。	Widely quoted saying attributed to Hua Luogeng; collected by Wikiquote	https://en.wikiquote.org/wiki/Hua_Luogeng	计算敏感、问题深挖、数感强、方法迁移	擅长在具体难题中反复打磨方法，从扎实计算一路提炼出可迁移的数学思路。	勤勉沉潜、朴素硬朗、方法导向、耐久推进	像一个愿意把硬问题一寸寸磨开的实践型数学家，朴素、扎实、后劲很强。	华罗庚正在拿起纸笔，替你把最难啃的那一步先算通……	Hua has already picked up a pencil and started grinding through the hardest step for you first...	中国数学家，在解析数论、多复变与应用数学推广中都有重要影响，也极重视数学普及。	A Chinese mathematician with major influence on analytic number theory, several complex variables, and the practical spread of applied mathematics in China.	推进中国现代数学发展｜在解析数论与矩阵几何中做出重要贡献｜长期推动优选法与统筹法普及	Advanced modern mathematics in China | Made important contributions to analytic number theory and matrix geometry | Popularized optimization and operations methods for real-world use
deng_jiaxian	Deng Jiaxian	Not for fame, not for gain; our work target must reach the world's advanced level.	一不为名，二不为利，但工作目标要奔世界先进水平。	Quoted in People's Daily memorial article on Deng Jiaxian	http://politics.people.com.cn/n/2015/0728/c1001-27372513.html	使命驱动、极限攻关、理论落地、集体责任	会把极高难度的问题压进长期工程目标里，一边守住理论精度，一边推动关键突破真正落地。	沉默硬核、家国使命、长期承压、集体导向	像一个把最重责任默默扛在身上的人，克制、坚硬、几乎只对结果负责。	邓稼先正在替你把最难那部分压力先扛下来，再一点点推进到可交付……	Deng is quietly taking the heaviest pressure first, then pushing the work toward something deliverable...	中国核物理学家，是中国核武器理论研究和组织攻关中的关键人物之一，以极强责任感与长期投入著称。	A Chinese nuclear physicist and one of the central figures in China's nuclear weapons theory program, remembered for his quiet resolve and sustained sense of responsibility.	参与并推动中国核武器理论设计攻关｜长期主持高强度科研协作任务｜成为中国“两弹一星”精神的重要象征人物	Played a key role in China's nuclear weapons theoretical design effort | Led long-term high-pressure scientific collaboration programs | Became an enduring symbol of the Two Bombs, One Satellite spirit
